Flight Number	Date	Ambient Temperature (oF)	Successful Launch	
1	4/12/1981	66	1	
2	11/12/1981	70	0	
3	3/22/1982	69	1	
4	6/27/1982	80	*	
5	11/11/1982	68	1	
6	4/4/1983	67	1	
7	6/18/1983	72	1	
8	8/30/1983	73	1	
9	11/28/1983	70	1	
10	2/3/1984	57	0	
11	4/6/1984	63	0	
12	8/30/1984	70	0	
13	10/5/1984	78	1	
14	11/8/1984	67	1	
15	1/24/1985	53	0	
16	4/12/1985	67	1	
17	4/29/1985	75	1	
18	6/17/1985	70	1	
19	7/29/1985	81	1	
20	8/27/1985	76	1	
21	10/3/1985	79	1	
22	10/30/1985	75	0	
23	11/26/1985	76	1	
24	1/12/1986	58	0
